Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Lani,Golden Retriever,"(42.36635765, -71.11224076)",-71.11224076,-71.11224076,Riverside
Charlie,Papillion Mix,"(42.37486419, -71.10368138)",-71.10368138,-71.10368138,Mid-Cambridge
Logan,Lab Ret Mix,"(42.37415123, -71.07761194)",-71.07761194,-71.07761194,East Cambridge
Hilo,Poodle,"(42.38721288, -71.12359135)",-71.12359135,-71.12359135,Neighborhood Nine
Polo,Cairn Terrier,"(42.39556572, -71.14572379)",-71.14572379,-71.14572379,North Cambridge
Isabel,Shiba Inu,"(42.37206436, -71.07947085)",-71.07947085,-71.07947085,East Cambridge
Emma,Border Terrier,"(42.37035307, -71.08618453)",-71.08618453,-71.08618453,East Cambridge
Sandy,Shih Tzu,"(42.38079738, -71.14377484)",-71.14377484,-71.14377484,West Cambridge
Lani Kai,Wheaton Terrier,"(42.36965217, -71.10224805)",-71.10224805,-71.10224805,Mid-Cambridge
Yuki,Labrador Retriever,"(42.38782488, -71.12829235)",-71.12829235,-71.12829235,Neighborhood Nine
Neo,Shetland Sheepdog,"(42.39419723, -71.14619589)",-71.14619589,-71.14619589,Cambridge Highlands
Marlowe,Hound Mix,"(42.39330621, -71.14759436)",-71.14759436,-71.14759436,North Cambridge
Ginger,Wheaton Terrier,"(42.38662329, -71.12847647)",-71.12847647,-71.12847647,Neighborhood Nine
Dixie,Golden Retriever,"(42.38784642, -71.12896727)",-71.12896727,-71.12896727,Neighborhood Nine
Tjapo,Golden Retriever,"(42.3708184, -71.1060217)",-71.1060217,-71.1060217,Mid-Cambridge
Missy,MINIATURE POODLE,"(42.37389191, -71.1321872)",-71.1321872,-71.1321872,West Cambridge
Rosie,Shih Tzu,"(42.36910081, -71.10022852)",-71.10022852,-71.10022852,The Port
Myles,Coonhound - American Black & Tan,"(42.38758507, -71.12837271)",-71.12837271,-71.12837271,Neighborhood Nine
Henderson,Labrador Retriever,"(42.36024199, -71.10701657)",-71.10701657,-71.10701657,Cambridgeport
Ella,Japanese Chin,"(42.37278774, -71.0970213)",-71.0970213,-71.0970213,Wellington-Harrington
Angel,Terrier Mix,"(42.38355544, -71.12038624)",-71.12038624,-71.12038624,Neighborhood Nine
Etta,Hound,"(42.36602112, -71.10498792)",-71.10498792,-71.10498792,Mid-Cambridge
Riley,Leonberger,"(42.36936143, -71.10078333)",-71.10078333,-71.10078333,The Port
Charlie Blonde,Labrador Retriever,"(42.38911679, -71.12416237)",-71.12416237,-71.12416237,Neighborhood Nine
Penelope,Labrador Retriever,"(42.38381842, -71.13780173)",-71.13780173,-71.13780173,Neighborhood Nine
Cooper,Golden Retriever,"(42.38214677, -71.13495388)",-71.13495388,-71.13495388,West Cambridge
Beba,Pekingese Mix,"(42.35830664, -71.10460495)",-71.10460495,-71.10460495,Cambridgeport
Molly,Dachshund,"(42.36587762, -71.10657477)",-71.10657477,-71.10657477,Riverside
Maggie,Labrador Retriever,"(42.36178024, -71.10677843)",-71.10677843,-71.10677843,Cambridgeport
Leo,Cocker Spaniel,"(42.39091341, -71.15552264)",-71.15552264,-71.15552264,Cambridge Highlands
Leelu,Rhodesian Ridgeback,"(42.3898503, -71.1300656)",-71.1300656,-71.1300656,North Cambridge
Dreamer,Bernese Mountain Dog,"(42.37496579, -71.12933506)",-71.12933506,-71.12933506,West Cambridge
Kelly,Golden Retriever,"(42.37722075, -71.10961037)",-71.10961037,-71.10961037,Mid-Cambridge
Winston,Hound,"(42.37395566, -71.10677567)",-71.10677567,-71.10677567,Mid-Cambridge
Rojo,Labradoddle,"(42.38544092, -71.11872234)",-71.11872234,-71.11872234,Agassiz
Mister Bear,French Bulldog,"(42.38757717, -71.12059254)",-71.12059254,-71.12059254,Neighborhood Nine
Artimiss,Maltese Mix,"(42.3635308, -71.10649911)",-71.10649911,-71.10649911,Cambridgeport
Birdie,Terrier Mix,"(42.36710551, -71.08089944)",-71.08089944,-71.08089944,East Cambridge
Buttercup,BOSTON TERRIER,"(42.37288418, -71.08584352)",-71.08584352,-71.08584352,East Cambridge
Oliver,Bassett Hound,"(42.3798431, -71.13191374)",-71.13191374,-71.13191374,West Cambridge
Gracie,Labrador Retriever,"(42.37998024, -71.12408107)",-71.12408107,-71.12408107,Neighborhood Nine
Chip,Australian Shepherd,"(42.38295165, -71.1395)",-71.1395,-71.1395,West Cambridge
Keeva,Labrador Retriever,"(42.40197244, -71.13401977)",-71.13401977,-71.13401977,North Cambridge
Puffy,Poodle,"(42.3642363, -71.09867979)",-71.09867979,-71.09867979,The Port
Eleanor,Yorkie Poo,"(42.37412714, -71.08042717)",-71.08042717,-71.08042717,East Cambridge
Benyo,Spaniel,"(42.37078041, -71.0956226)",-71.0956226,-71.0956226,Wellington-Harrington
Santana,Cavalier King Charles Mix,"(42.37291141, -71.09709522)",-71.09709522,-71.09709522,Wellington-Harrington
Bay,Pit,"(42.36193243, -71.10495513)",-71.10495513,-71.10495513,Cambridgeport
Rivet,Siberian Husky,"(42.36460416, -71.10975047)",-71.10975047,-71.10975047,Riverside
Harry,Sheep Dog,"(42.37745174, -71.1347854)",-71.1347854,-71.1347854,West Cambridge
Roxy,Labrador Retriever,"(42.38434856, -71.13117384)",-71.13117384,-71.13117384,Neighborhood Nine
Izzy,Greyhound,"(42.3710573, -71.09979799)",-71.09979799,-71.09979799,Wellington-Harrington
Lucky,Labrador Retriever,"(42.38184877, -71.13407633)",-71.13407633,-71.13407633,West Cambridge
Henry,Shih Tzu,"(42.37481941, -71.12346859)",-71.12346859,-71.12346859,West Cambridge
Schnapps,Schnauzer Mix,"(42.38367288, -71.13200857)",-71.13200857,-71.13200857,Neighborhood Nine
Louie,Australian Cattle Dog,"(42.37397486, -71.08330227)",-71.08330227,-71.08330227,East Cambridge
Beau,Bernese & Border Mix,"(42.39221445, -71.13912155)",-71.13912155,-71.13912155,Neighborhood Nine
Tyler,Boxer Mix,"(42.39509705, -71.15630166)",-71.15630166,-71.15630166,Cambridge Highlands
Winston,Maltese,"(42.40191038, -71.15102152)",-71.15102152,-71.15102152,North Cambridge
Georgie,Border Collie,"(42.38156958, -71.14290077)",-71.14290077,-71.14290077,West Cambridge
C.J.,Mix,"(42.37236599, -71.08781667)",-71.08781667,-71.08781667,East Cambridge
Daisy,YORKIE MIX,"(42.36711009, -71.09919008)",-71.09919008,-71.09919008,The Port
Baloo,LABRADOODLE,"(42.36616797, -71.08315338)",-71.08315338,-71.08315338,East Cambridge
Flower,Chihuahua Mix,"(42.36431679, -71.10718102)",-71.10718102,-71.10718102,Cambridgeport
Lily,Irish Setter,"(42.37372557, -71.10125047)",-71.10125047,-71.10125047,Mid-Cambridge
Charlie,Min Australian Shepherd,"(42.38694512, -71.12969051)",-71.12969051,-71.12969051,Neighborhood Nine
Mulligan,,"(42.3813572, -71.13867777)",-71.13867777,-71.13867777,West Cambridge
Rosie,Coton De Tulear,"(42.39479898, -71.12911504)",-71.12911504,-71.12911504,North Cambridge
Teddy,Norfolk Terrier,"(42.37496334, -71.13681057)",-71.13681057,-71.13681057,West Cambridge
Atom,Terrier Mix,"(42.39515744, -71.14381568)",-71.14381568,-71.14381568,North Cambridge
Rudy,Terrier,"(42.39177651, -71.12871793)",-71.12871793,-71.12871793,North Cambridge
Minnie,Scottish Terrier,"(42.37495005, -71.10859032)",-71.10859032,-71.10859032,Mid-Cambridge
Susie,Mix,"(42.38528179, -71.14043871)",-71.14043871,-71.14043871,Neighborhood Nine
Cleve,Standard Poodle,"(42.36875107, -71.11101273)",-71.11101273,-71.11101273,Riverside
Sierra,Labrador Retriever,"(42.3757541, -71.12380965)",-71.12380965,-71.12380965,West Cambridge
Nessy,Australian Shepherd,"(42.38154143, -71.14165539)",-71.14165539,-71.14165539,West Cambridge
Burdick,Labrador Retriever,"(42.37116064, -71.11047863)",-71.11047863,-71.11047863,Mid-Cambridge
George,Maltese,"(42.39566844, -71.13474773)",-71.13474773,-71.13474773,North Cambridge
Biscuit,Yorksire Terrier,"(42.36955115, -71.11240947)",-71.11240947,-71.11240947,Mid-Cambridge
Midnight,Pomeranian,"(42.37013661, -71.0836577)",-71.0836577,-71.0836577,East Cambridge
Hazel,Corgi,"(42.36856311, -71.09963798)",-71.09963798,-71.09963798,The Port
Ed,Australian Cattle Dog,"(42.37862604, -71.11592404)",-71.11592404,-71.11592404,Agassiz
Louis,Maltese / Poodle Mix,"(42.36719502, -71.10343729)",-71.10343729,-71.10343729,Cambridgeport
Logan,Estrela Mountain,"(42.36348948, -71.10615697)",-71.10615697,-71.10615697,Cambridgeport
Athena,Pug,"(42.3686986, -71.12096167)",-71.12096167,-71.12096167,Riverside
Tui,Mix,"(42.37319248, -71.10890352)",-71.10890352,-71.10890352,Mid-Cambridge
Aki,Bichon Bolognese,"(42.39675514, -71.14695009)",-71.14695009,-71.14695009,North Cambridge
Golden,Brittany Spaniel,"(42.38641701, -71.12846526)",-71.12846526,-71.12846526,Neighborhood Nine
Marlowe,Maltese,"(42.37435441, -71.11037997)",-71.11037997,-71.11037997,Mid-Cambridge
Laverne,Fox Terrier,"(42.3758326, -71.13334258)",-71.13334258,-71.13334258,West Cambridge
Mia,Border Collie,"(42.39334374, -71.14493792)",-71.14493792,-71.14493792,Cambridge Highlands
Kora,Australian Shepherd,"(42.36626425, -71.0991028)",-71.0991028,-71.0991028,The Port
Buddy,Yorksire Terrier,"(42.36851814, -71.08665841)",-71.08665841,-71.08665841,East Cambridge
Willie,Dachshund,"(42.36405233, -71.11146816)",-71.11146816,-71.11146816,Cambridgeport
Bridget,Chihuahua,"(42.38277721, -71.11421382)",-71.11421382,-71.11421382,Agassiz
Maggie,Schnauzer,"(42.36863885, -71.09475863)",-71.09475863,-71.09475863,Wellington-Harrington
Misty,Border Collie,"(42.38660896, -71.12169817)",-71.12169817,-71.12169817,Neighborhood Nine
Austin,Labradoodle,"(42.38741204, -71.12672348)",-71.12672348,-71.12672348,Neighborhood Nine
Penny,Labrador Retriever Mix,"(42.3656004, -71.08476119)",-71.08476119,-71.08476119,East Cambridge
Emerson,Golden Doodle,"(42.37482407, -71.10875147)",-71.10875147,-71.10875147,Mid-Cambridge
